pitcairn         | bpe  1| am  1|  64x1  | {X0, X1, X2, X3, X4, X5}
stoney           | bpe 16| am  2|   8x8  | {0, 0, 0, 0, X0, Y0, X1, Y1, X2, Y2}
stoney           | bpe 16| am D2|  32x8  | {0, 0, 0, 0, X0, Y0, X1, Y1, X2, Y2, X3, X4}
stoney           | bpe 16| am  4|  32x32 | {0, 0, 0, 0, X0, Y0, X1, Y1, X3^Y3, X4, Y4, Y3, X2, Y2}
stoney           | bpe 16| am D4|  32x32 | {0, 0, 0, 0, X0, Y0, X1, Y1, X3^Y3, X4, Y4, Y3, X2, Y2}
stoney           | bpe 16| am 19|  64x64 | {0, 0, 0, 0, X0, Y0, X1, Y1, X3^Y3, X4, X5, Y5, Y4, X2, Y2, Y3}
stoney           | bpe 16| amD19|  64x64 | {0, 0, 0, 0, X0, Y0, X1, Y1, X3^Y3, X4, X5, Y5, Y4, X2, Y2, Y3}
vega10           | bpe  1| sw  0| 256x1  | {X0, X1, X2, X3, X4, X5, X6, X7}
vega10           | bpe  1| sw  1|  16x16 | {X0, X1, X2, X3, Y0, Y1, Y2, Y3}
vega10           | bpe  1| sw  2|  16x16 | {X0, X1, X2, Y1, Y0, Y2, X3, Y3}
vega10           | bpe  1| sw  3|  16x16 | {Y0, Y1, Y2, X1, X0, X2, X3, Y3}
vega10           | bpe  1| sw  4|  64x64 | {X0, Y0, X1, Y1, X2, Y2, Y3, X3, Y4, X4, Y5, X5}
vega10           | bpe  1| sw  5|  64x64 | {X0, X1, X2, X3, Y0, Y1, Y2, Y3, Y4, X4, Y5, X5}
vega10           | bpe  1| sw  6|  64x64 | {X0, X1, X2, Y1, Y0, Y2, X3, Y3, Y4, X4, Y5, X5}
vega10           | bpe  1| sw  7|  64x64 | {Y0, Y1, Y2, X1, X0, X2, X3, Y3, Y4, X4, Y5, X5}
vega10           | bpe  1| sw  8| 256x256| {X0, Y0, X1, Y1, X2, Y2, Y3, X3, Y4, X4, Y5, X5, Y6, X6, Y7, X7}
vega10           | bpe  1| sw  9| 256x256| {X0, X1, X2, X3, Y0, Y1, Y2, Y3, Y4, X4, Y5, X5, Y6, X6, Y7, X7}
